data_id,region,data_state,account_status,purchasegroup,consumer_dob,chargeoff_age,working_age,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,data_bal_total,chargeoff_date,chargeoff_date_bom,chargeoffamt,chargeoffamt_present,judgment_status,judgment_active,acct_post_judgment,judgment_date,days_between_chargeoff_and_judgment,judgment_amount,judgment_amount_present,chargeoff_precovid(2020-03-01),judgment_precovid(2020-03-01),total_transactions,num_payments,num_reversals,net_num_payments,sum_pay_amount,avg_pay_amount,min_pay_date,max_pay_date,payment_duration_days,avg_days_between_payments,avg_monthly_payment(duration>=365days),days_between_chargeoff_and_min_pay_date,days_between_chargeoff_and_max_pay_date,days_between_judgment_and_min_pay_date,days_between_judgment_and_max_pay_date,min_payment_within_5_years_of_chargeoff,closed_w_max_pmt_within_5_yrs_of_min_pmt,max_pmt_within_5_yrs_of_min_pmt_within_5_yrs_of_chargeoff
152423,midwest,OH,Closed (9); PIF,Dormant Judgment,01/01/1973,34,1,1,1,1,0,1,0,1,1,6.31,2007-04,01/04/2007,2075.07,1,Satisfied,0,1,28/07/2008,484,2075.07,1,1,1,22,20,2,18,3096.61,172.0338889,06/01/2017,13/03/2018,432,23.9444,218.1748115,3568,3999,3084,3515,0,1,
152669,midwest,MI,Closed (9); PIF,Dormant Judgment,01/01/1989,20,1,1,1,1,0,1,0,1,1,54.75,2009-04,01/04/2009,1077.29,1,Dormant,0,1,22/01/2014,1757,1375.03,1,1,1,6,6,0,6,1481.81,246.9683333,17/11/2016,26/01/2017,71,11.6667,,2787,2857,1030,1100,0,1,
152967,northeast,NY,Placement (3); Active,Dormant Judgment,01/01/1980,24,1,1,0,1,0,0,0,1,1,3240.84,2003-09,01/09/2003,,0,Active,1,1,30/01/2007,1247,1354.32,1,1,1,,,,,,,,,,,,,,,,0,,
153343,southwest,AZ,Closed (9); PIF,Dormant Judgment,01/01/1989,22,1,1,1,1,0,1,0,1,1,10,2011-05,01/05/2011,362.54,1,Active,1,1,10/07/2014,1166,1114.9,1,1,1,1,1,0,1,1349.29,1349.29,08/12/2016,08/12/2016,1,0,,2048,2048,882,882,0,1,
153362,northeast,NJ,Closed (9); SIF,Dormant Judgment,01/01/1979,33,1,1,0,1,0,0,0,1,1,150.46,2011-10,01/10/2011,235.32,1,Active,1,1,12/06/2014,985,501.54,1,1,1,1,1,0,1,351.08,351.08,03/03/2017,03/03/2017,1,0,,1980,1980,995,995,0,1,
153439,southeast,FL,Closed (9); SIF,Dormant Judgment,01/01/1970,26,1,1,1,1,0,1,0,1,1,4345.02,1996-02,01/02/1996,3041.29,1,Dormant,0,1,07/04/1999,1161,5037.57,1,1,1,1,1,0,1,5000,5000,15/07/2016,15/07/2016,1,0,,7470,7470,6309,6309,0,1,
153532,southwest,TX,Closed (9); SIF,Dormant Judgment,01/01/1982,26,1,0,1,0,0,0,0,1,1,646.74,2008-04,01/04/2008,,0,Dormant,0,1,04/11/2011,1312,1347.17,1,1,1,1,1,0,1,1000,1000,20/05/2016,20/05/2016,1,0,,2971,2971,1659,1659,0,1,
153626,midwest,IL,Closed (9); PIF,Suit,01/01/1969,48,1,0,1,1,0,0,0,0,0,7.28,2016-12,01/12/2016,1368.58,1,Served,0,0,,,,0,1,,4,4,0,4,1368.58,342.145,21/08/2017,04/05/2018,257,64,,263,519,,,1,1,1
153978,midwest,IL,Closed (9); PIF,Suit,01/01/1990,27,1,0,1,1,0,0,0,0,0,78.08,2017-02,01/02/2017,1562.84,1,Served,0,0,,,,0,1,,6,6,0,6,1562.84,260.4733333,18/09/2017,23/07/2018,309,51.3333,,229,537,,,1,1,1
154082,midwest,IL,Closed (9); PIF,Suit,01/01/1983,34,1,0,1,1,0,0,0,0,0,0,2017-02,01/02/2017,963.88,1,Served,0,0,,,,0,1,,3,3,0,3,963.88,321.2933333,10/10/2017,02/11/2017,24,7.6667,,251,274,,,1,1,1
